"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"1","2","10","Exterior view","酒店外观","https://pix8.agoda.net/hotelImages/10/-1/38ffdf2941edb1853c1dede88933cacc.jpg?ca=21&ce=0&s=312x","312x","1","104800089","22/6/2022 10:47:57",,
"2","2","10","Bed","床型","https://q-xx.bstatic.com/xdata/images/hotel/max500/311724681.jpg?k=376742fa10acae079e18e29855854641745e40bbd4aa89d02845ecfe9f6b302a&o=&s=312x","312x","1","74585079","22/6/2022 10:47:57",,
"3","2","10","Lobby","大厅","https://pix8.agoda.net/hotelImages/10/-1/9260f567f2ab4388f5ac6be0a1c7a70e.jpg?ca=22&ce=0&s=312x","312x","1","105590307","22/6/2022 10:47:57",,
"4","2","10","Lobby","大厅","https://pix8.agoda.net/hotelImages/2309171/0/f601f0b54fe94fca34f8df8d115ddf8b.jpg?ca=9&ce=1&s=312x","312x","1","77808366","22/6/2022 10:47:57",,
"5","2","10","Balcony/terrace","阳台/露台","https://q-xx.bstatic.com/xdata/images/hotel/max500/184935964.jpg?k=beda8c38c961c73f05620fc6dc8e35193aa7fd8637faaae8612b013df206fe53&o=&s=312x","312x","1","74585066","22/6/2022 10:47:57",,
"389122","4","16",,,"https://pix8.agoda.net/hotelImages/16/16/16_17072912020054755824.jpg?ca=6&ce=1&s=312x","312x","1","54755824","25/6/2022 11:13:55",,
"389123","4","16","Bed","床型","https://q-xx.bstatic.com/xdata/images/hotel/max500/23347585.jpg?k=7557fb91578690ca8d9cfc54232663362b19cf1fa5f35229d8012656bda3a1d4&o=&s=312x","312x","1","33206538","25/6/2022 11:13:55",,
"389124","4","16","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/92274743.jpg?k=19f5c787048718f0891d30ce3f4c4e4bc6f8cdeb37bbaab39e0e59c5d6127806&o=&isSkia=true&s=312x","312x","1","33206508","7/7/2023 11:00:20",,
"389125","4","16","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/92274348.jpg?k=08ea9c2117ac9c8dc25ac7d49db7343e35a7a1243f6bdabe9aa98cd87ddb79c8&o=&isSkia=true&s=312x","312x","1","33206486","7/7/2023 11:00:20",,
"389126","4","16","Interior view","酒店内饰","https://pix8.agoda.net/hotelImages/16/16/16_17072912020054755814.jpg?ca=6&ce=1&isSkia=true&s=312x","312x","1","54755814","7/7/2023 11:00:20",,
"2985027","4","393213","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//0204h1200083p0ugq5E73_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985028","4","393213","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//0203l1200083m6juo7157_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985029","4","393213","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//0204h1200083p0mvwE946_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985030","4","393213","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//020691200083m5zuuCE29_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985031","4","393213","Others","其他","http://dimg04.c-ctrip.com/images//hotel/89000/88740/a6f4913e852440689105dd40f9a34798_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985032","4","393213","Others","其他","http://dimg04.c-ctrip.com/images//0222l120009bq379s18B3_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
"2985033","4","393213","Others","其他","http://dimg04.c-ctrip.com/images//0221t120009bq2ybgC99B_R_550_412.jpg",,"2",,"3/8/2022 17:41:51",,
