"name","address","email","website","tel","postcode","latitude","longitude","star","city","chainname","brandname","country","countrycode"
"Sai Kaew Beach Resort Koh Samet","8/1 Moo 4, Tumbol Phe, Amphur Mueng, Rayong 21160 Thailand","frontoffice_saikaew@samedresorts.com","http://www.samedresorts.com","+66 (0)38 644 195",,"12.567281","101.465371","4","Koh Samet",,,"Thailand","TH"
"Tryp Malaga Alameda Hotel","Centro Comercial Larios. Avda. de la Aurora, 25 , 29002, Málaga SPAIN","tryp.alameda@melia.com","https://www.melia.com/cn/hotels/spain/malaga/tryp-malaga-alameda-hotel/rooms.htm?fechaEntrada=1574938800&fechaSalida=1575025200&promotionCode=","34-952-368 020","29002","36.716134","-4.432871","4","Malaga",,,"Spain","ES"
"NH Iquique Hotel","Av Costanera 3939","nhiquique@nh-hotels.com","https://www.nh-hotels.com/hotel/nh-iquique","+34 91 398 46 61","1111500","-20.269997","-70.129483","4","iquique","NH Hotel Group","NH Hotel","Chile","CL"
"Kew Green Hotel Wanchai HK","41-49 Hennessy Road","rsvn.hkwh@kewgreenhotel.com","http://www.kewgreenhotelwanchai.com/cn/home","852-28-611166",,"22.27767","114.17056","4","hong kong","HK CTS Hotels","Kew Green Hotels","Hong Kong (China)","HK"
"Grand Coloane Resort","1918 Estrada de Hac Sa","info@grandcoloane.com","http://www.grandcoloane.com","+853 2887 1111",,"22.125391","113.575936","5","macao",,,"Macau (China)","MO"
"Skycity Hotel","Cnr of Victoria & Federal Streets, Auckland","Hotel.Reservations@skycity.co.nz","https://skycityauckland.co.nz/hotels/skycity-hotel/rooms/","64-9-3636000","1010","-36.848068","174.761917","4","Auckland",,,"New Zealand","NZ"
"BW Premier Collection The Harmonie Vienna","Harmoniegasse 5-7,Vienna,Austria,Vienna,Austria","welcome@harmonie-vienna.at","http://www.hotelharmonie.at","+ 43 1 317 66 04","1090","48.21982","16.35981","4","Vienna","Best Western Hotels & Resorts","BW Premier Collection","Austria","AT"
"Pullman Bordeaux Lac","Avenue Jean Gabriel Domergue , 33300 Bordeaux Le Lac","h0669@accor.com","https://all.accor.com/hotel/0669/index.en.shtml","+33556696666","33300","44.88962","-0.565954","4","Bordeaux","Accor Hotels","Pullman","France","FR"
"Park Suisse Hotel","Via Favale 31, Santa Margherita Ligure","info@parkhotelsuisse.it","https://www.parkhotelsuisse.com/","+39.0185.289571","16038","44.33079","9.21219","4","santa margherita ligure",,,"Italy","IT"
"Hotel caribe by faranda grand, a member of radisson individuals","Carrera 1a No 2-87","callcenter@farandahotels.com","https://www.hotelcaribe.com","（+57）5 6501160","1330","10.397937","-75.560768","5","cartagena",,,"Colombia","CO"
"Haihua hotel hangzhou","No. 298, Qing Chun Road",,"http://www.haihuahotelhangzhou.com/","0571-87215888",,"30.2530830000","120.2155120000","4","Hangzhou",,,"China","CN"
"Kobe Sannomiya Tokyu REI Hotel","6-1-5, Kumoidori, Chuo-ku, Kobe-shi, Hyogo, Japan","online_support@nta.co.jp","https://www.kobesannomiya.rei.tokyuhotels.co.jp/ja/index.html","078-291-0109","651-0096","34.694275","135.196809","3","kobe",,,"Japan","JP"
"Comfort Suites South Burlington near University","1712 Shelburne Rd., South Burlington","wendychase@innvermont.com","http://www.comfortsuitesburlingtonvt.com","(802) 860-1112",,"44.425246","-73.211478","3","South Burlington (VT)","Choice Hotels International","Comfort Suites","United States","US"
"King David Jerusalem Hotel","23 King David Street Jerusalem 94101 Israel","kingdavid@danhotels.com","https://www3.danhotels.com/JerusalemHotels/KingDavidJerusalemHotel","972-3-7408966","94101","31.773995","35.222267","5","jerusalem",,,"Israel","IL"
"Everbright Convention & Exhibition Centre International Hotel","66 Caobao Road, Xuhui district","ebhotel@secec.com","http://www.greathall-hotel.cn","2164842500","200233","31.167866","121.429149","4","Shanghai",,,"China","CN"
"Hilton Garden Inn Pittsburgh University Place","3454 Forbes Avenue Pittsburgh, PA 15213 USA","PITUC_GM@hilton.com","https://www.hilton.com/en/hotels/pitucgi-hilton-garden-inn-pittsburgh-university-place/","+1412-683-2040","15213","40.439488","-79.959274","3","Pittsburgh (PA)","Hilton Hotels & Resorts","Hilton Garden Inn","United States","US"
"Paris Las Vegas Hotel & Casino","3655 Las Vegas Boulevard South Las Vegas , NV 89109","LVWHOLESALE@CAESARS.COM","https://www.wyndhamhotels.com/caesars-rewards/las-vegas-nevada/paris-las-vegas/overview","+1-702-946-7000","89109","36.112018","-115.170858","4","Las Vegas (NV)","Wyndham Hotels & Resorts","Caesars","United States","US"
"Hotel Catalonia Brussels","Av. Du Haut Pont 2, Brussels","booking@cataloniahotels.com","https://www.cataloniahotels.com/en/hotel/catalonia-brussels","+32 23 403 400",,"50.820938","4.35322","3","brussels",,,"Belgium","BE"
"Grand Prince Hotel Shin Takanawa","3-13-1 Takanawa, Minato-ku Tokyo, Japan","tkn-rsv1@princehotels.co.jp","http://www.princehotels.com/newtakanawa/guest-rooms/","81334421111","108-8612","35.630587","139.73241","4","Tokyo","Prince Hotel & Resorts","Grand Prince Hotel","Japan","JP"
"Watazen Ryokan Hotel","Nakagyo-ku Yanaginobaba-dori Rokkaku-kudaru 413, Kyoto","kyoto@watazen.com","http://www.watazen.com","+81752230111","604-8113 ","35.006754","135.763931","3","Kyoto",,,"Japan","JP"
"The Clermont London, Charing Cross","STRAND, CHARING CROSS WC2N 5HX LONDON","bookcc@amba-hotel.com","http://www.amba-hotel.com","+44 800 330 8397","WC2N 5HX","51.508571","-0.124946","4","London",,,"United Kingdom","GB"
"The Imperial Hotel","32-34 Nathan Road","imperial@imperialhotel.com.hk","http://www.imperialhotel.com.hk","(85) 22 366 22 01","0","22.295991","114.172333","3","hong kong",,,"Hong Kong (China)","HK"
"Royal Hotel San Remo","Corso Imperatrice 80, Sanremo","reservations@royalhotelsanremo.com","https://www.royalhotelsanremo.com/eng/index.html","+391845391","18038","43.813789","7.768031","5","Sanremo",,,"Italy","IT"
"The Park Hotel Visakhapatnam","Beach Road, Pedda Waltair","resv.viz@theparkhotels.com","http://www.theparkhotels.com/visakhapatnam/visakhapatnam.html","+918913045678","530023","17.721613","83.335895","5","Visakhapatnam",,,"India","IN"
"Hotel Obana","1110 Takabatake-cho, Nara City, Nara, Japan 630-8301","hotel@sunroute-nara.co.jp","http://www.sunroute-nara.co.jp","0742-22-5151",,"34.679601","135.831994","3","nara",,,"Japan","JP"
"The Tower Hotel","St Katharines Way","reservationsadmin.tower@guoman.co.uk","https://www.guoman.com/en/london/the-tower.html","+44 20 7523 5063","E1W 1LD","51.506436","-0.073804","4","London",,,"United Kingdom","GB"
"The Grand New Delhi Hotel","Nelson Mandela Road; Vasant Kunj Phase 2; New Delhi 110070; India;","frontoffice@thegrandnewdelhi.com","http://www.thegrandnewdelhi.com","+91 11 4766 1200","110070","28.538967","77.151979","5","New Delhi and NCR",,,"India","IN"
"Hotel The Stanley","Odysseos 1- Karaiskaki Sq, Athens","reservations@hotelstanley.gr","http://www.hotelstanley.gr/","+30 211 9900900","10437","37.985958","23.720829","4","Athens",,,"Greece","GR"
"Gran Hotel Cervantes by Blue Sea","Las Mercedes, s/n, Torremolinos","cervantesres@blueseahotels.es","https://www.blueseahotels.com/en/hoteles/destinos/costa-del-sol/torremolinos/blue-sea-gran-hotel-cervantes","01134 952 384 033","29620","36.623717","-4.49754","4","Malaga",,,"Spain","ES"
"The Oberoi Rajvilas Jaipur Hotel","302 031 Rajasthan, India","reservations@oberoigroup.com","https://www.oberoihotels.com/zh-cn/hotels-in-jaipur-rajvilas-resort/","+911412680101","303012","26.875761","75.883931","5","Jaipur",,,"India","IN"
